timestamp,text,sender,isFromMe,chatIdentifier
"2024-06-19 14:30:15","Hey! How are you doing today?","Me",true,"direct"
"2024-06-19 14:32:42","I'm doing great, thanks for asking! How about you?","+1234567890",false,"direct"
"2024-06-19 14:33:01","Pretty good! Just working on some exciting projects","Me",true,"direct"
"2024-06-19 14:35:18","That sounds awesome! What kind of projects?","+1234567890",false,"direct"
"2024-06-19 14:36:45","Building an AI app for analyzing message conversations. It's all local processing for privacy","Me",true,"direct"
"2024-06-19 14:38:12","Wow that's really cool! Privacy-focused AI is so important these days","+1234567890",false,"direct"
"2024-06-19 14:40:33","Exactly! No data leaves your device. Everything happens locally","Me",true,"direct"
"2024-06-19 15:15:22","Just finished the lunch meeting. It went really well!","Me",true,"direct"
"2024-06-19 15:16:47","That's fantastic news! What was the outcome?","+1234567890",false,"direct"
"2024-06-19 15:18:12","They loved the proposal and want to move forward. Very excited!","Me",true,"direct"
"2024-06-19 15:19:05","🎉 Congratulations! You deserve it after all that hard work","+1234567890",false,"direct"
"2024-06-19 15:20:18","Thanks! Couldn't have done it without your advice earlier","Me",true,"direct"
"2024-06-19 16:45:30","Are we still on for dinner tonight?","+1234567890",false,"direct"
"2024-06-19 16:47:12","Absolutely! Looking forward to it. 7 PM at the usual place?","Me",true,"direct"
"2024-06-19 16:48:33","Perfect! See you there 😊","+1234567890",false,"direct"
